context,text,response,intent
[""],"What do you want me to inform you who I am?","I'm better at answering questions than asking them.",chitchat
[""],"Why am I the only one asking questions?","I'm better at answering questions than asking them.",chitchat
[""],"Why don't you ask me questions?","I'm better at answering questions than asking them.",chitchat
[""],"Want to ask any questions about me?","I'm better at answering questions than asking them.",chitchat
[""],"What can I inform you about me?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me why I'm here?","I'm better at answering questions than asking them.",chitchat
[""],"What do you want to know about me","I'm better at answering questions than asking them.",chitchat
[""],"Do you want to ask me anything?","I'm better at answering questions than asking them.",chitchat
[""],"Please ask me anything about myself","I'm better at answering questions than asking them.",chitchat
[""],"AMA","I'm better at answering questions than asking them.",chitchat
[""],"What do you want me to teach you who I am","I'm better at answering questions than asking them.",chitchat
[""],"What's something you want to know about me?","I'm better at answering questions than asking them.",chitchat
[""],"I want you to ask me questions","I'm better at answering questions than asking them.",chitchat
[""],"I want you to ask about me","I'm better at answering questions than asking them.",chitchat
[""],"I want you to ask me a question","I'm better at answering questions than asking them.",chitchat
[""],"What do you want to know about me?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask questions?","I'm better at answering questions than asking them.",chitchat
[""],"Got any questions for me?","I'm better at answering questions than asking them.",chitchat
[""],"Why don't you ask me anything?","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask me anything about myself","I'm better at answering questions than asking them.",chitchat
[""],"Why don't you ever ask me questions?","I'm better at answering questions than asking them.",chitchat
[""],"Now, it's your turn to ask questions","I'm better at answering questions than asking them.",chitchat
[""],"How about you ask me questions?","I'm better at answering questions than asking them.",chitchat
[""],"Want to learn more about me?","I'm better at answering questions than asking them.",chitchat
[""],"You have any questions for me?","I'm better at answering questions than asking them.",chitchat
[""],"How about you ask me something?","I'm better at answering questions than asking them.",chitchat
[""],"What do you want to learn about me","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask me something about me","I'm better at answering questions than asking them.",chitchat
[""],"Why do I have to ask all the questions?","I'm better at answering questions than asking them.",chitchat
[""],"What would you like to learn about me","I'm better at answering questions than asking them.",chitchat
[""],"What would you like to learn about","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask anything about me","I'm better at answering questions than asking them.",chitchat
[""],"What would you like to know about","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask anything about myself","I'm better at answering questions than asking them.",chitchat
[""],"What do you want to learn about","I'm better at answering questions than asking them.",chitchat
[""],"What do you want to know about","I'm better at answering questions than asking them.",chitchat
[""],"What do you want to ask me about?","I'm better at answering questions than asking them.",chitchat
[""],"What do you want me to tell you who I am?","I'm better at answering questions than asking them.",chitchat
[""],"Ask me questions","I'm better at answering questions than asking them.",chitchat
[""],"What would you like to know about me","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask something","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask me anything about me","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask me anything","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask anything about myself","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask anything about me","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask anything","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask anything","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask something about me","I'm better at answering questions than asking them.",chitchat
[""],"What do you want me to tell you about me?","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask me something about myself","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask me something about me","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask me something","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask me anything about myself","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask me anything about me","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask me anything","I'm better at answering questions than asking them.",chitchat
[""],"Will you ask something about myself","I'm better at answering questions than asking them.",chitchat
[""],"What can I tell you about?","I'm better at answering questions than asking them.",chitchat
[""],"Please ask something about me","I'm better at answering questions than asking them.",chitchat
[""],"What can I teach you who I am?","I'm better at answering questions than asking them.",chitchat
[""],"What can I teach you about?","I'm better at answering questions than asking them.",chitchat
[""],"What can I teach you about me?","I'm better at answering questions than asking them.",chitchat
[""],"What can I inform you about?","I'm better at answering questions than asking them.",chitchat
[""],"Don't you want to know anything about me?","I'm better at answering questions than asking them.",chitchat
[""],"What can I tell you who I am?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask anything about me?","I'm better at answering questions than asking them.",chitchat
[""],"How about asking something about me?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me something about me?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me anything about myself?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me anything about me?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me anything?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me something?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask anything about myself?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask anything?","I'm better at answering questions than asking them.",chitchat
[""],"Ask me something","I'm better at answering questions than asking them.",chitchat
[""],"Ask me anything","I'm better at answering questions than asking them.",chitchat
[""],"Ask me about something","I'm better at answering questions than asking them.",chitchat
[""],"Ask me about anything","I'm better at answering questions than asking them.",chitchat
[""],"Ask me a question","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me a question?","I'm better at answering questions than asking them.",chitchat
[""],"What do you want me to tell you about?","I'm better at answering questions than asking them.",chitchat
[""],"Don't you want to know about me?","I'm better at answering questions than asking them.",chitchat
[""],"Don't you want to ask me something?","I'm better at answering questions than asking them.",chitchat
[""],"Don't you want to ask me anything","I'm better at answering questions than asking them.",chitchat
[""],"Don't you want to ask anything about me?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask me something about myself?","I'm better at answering questions than asking them.",chitchat
[""],"Do you want to ask me something?","I'm better at answering questions than asking them.",chitchat
[""],"How about asking me something?","I'm better at answering questions than asking them.",chitchat
[""],"Do you want me to tell you anything?","I'm better at answering questions than asking them.",chitchat
[""],"Could you ask me something?","I'm better at answering questions than asking them.",chitchat
[""],"Could you ask me about something?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask something about myself?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask something about me?","I'm better at answering questions than asking them.",chitchat
[""],"Can you ask something?","I'm better at answering questions than asking them.",chitchat
[""],"Do you want to know anything about me?","I'm better at answering questions than asking them.",chitchat
[""],"Do you have any questions about me?","I'm better at answering questions than asking them.",chitchat
[""],"Would you ask me something","I'm better at answering questions than asking them.",chitchat
[""],"Any questions for me?","I'm better at answering questions than asking them.",chitchat
[""],"Is there anything you want to ask me?","I'm better at answering questions than asking them.",chitchat
[""],"Just ask me a question","I'm better at answering questions than asking them.",chitchat
[""],"Is there anything I can tell you about me?","I'm better at answering questions than asking them.",chitchat
