text,entities
tube to Abbey Road,"[(8, 18, 'DST')]"
subway to Acton Central,"[(10, 23, 'DST')]"
i wan na go to Acton Town,"[(15, 25, 'DST')]"
which tube line should i take to go to Addington Village ?,"[(39, 56, 'DST')]"
i want to go to Addiscombe,"[(16, 26, 'DST')]"
i need to get to Aldgate,"[(17, 24, 'DST')]"
can you take the tube to Aldgate East ?,"[(25, 37, 'DST')]"
tell me how to get to All Saints,"[(22, 32, 'DST')]"
how do i get from Wimbledon Park to Alperton using the tube ?,"[(18, 32, 'ORN'), (36, 44, 'DST')]"
what is the best route to get to Amersham from Wimbledon ?,"[(33, 41, 'DST'), (47, 56, 'ORN')]"
what is the best route to reach Ampere Way from Wimbledon using the tube ?,"[(32, 42, 'DST'), (48, 57, 'ORN')]"
can i use the tube to travel from Willesden Junction to Anerley ?,"[(34, 52, 'ORN'), (56, 63, 'DST')]"
what is the best route to reach Angel from Willesden Junction on the tube ?,"[(32, 37, 'DST'), (43, 61, 'ORN')]"
can you suggest a route from Willesden Green to Archway ?,"[(29, 44, 'ORN'), (48, 55, 'DST')]"
what is the fastest route from Whitechapel to Arena ?,"[(31, 42, 'ORN'), (46, 51, 'DST')]"
I want to know how to get to Arnos Grove from Whitechapel,"[(29, 40, 'DST'), (46, 57, 'ORN')]"
can I go to Arsenal from White Hart Lane,"[(12, 19, 'DST'), (25, 40, 'ORN')]"
how can i get to Avenue Road,"[(17, 28, 'DST')]"
how can i get from Westompton to Baker Street,"[(19, 29, 'ORN'), (33, 45, 'DST')]"
how do i go from Westminster to Balham,"[(17, 28, 'ORN'), (32, 38, 'DST')]"
how much is the fare from Westferry to Bank ?,"[(26, 35, 'ORN'), (39, 43, 'DST')]"
how much does it cost to go to Bank from Westbourne Park,"[(31, 35, 'DST'), (41, 56, 'ORN')]"
adult ticket to Barbican,"[(16, 24, 'DST')]"
child ticket to Barking,"[(16, 23, 'DST')]"
tell me how much the fare is to go to Barking from West Kensington,"[(38, 45, 'DST'), (51, 66, 'ORN')]"
how much is the fare ?,[]
how much is the ticket ?,[]
how much does it cost ?,[]
how much is it going to cost,[]
How much does a peak-hour ticket cost on the London Underground ?,[]
What is the off-peak fare for the London Underground ?,[]
How much does it cost for a one-way journey from West Finchley to Beckton Park on the London Underground ?,"[(49, 62, 'ORN'), (66, 78, 'DST')]"
What is the fare for a single journey from West Croydon to Becontree ?,"[(43, 55, 'ORN'), (59, 68, 'DST')]"
Can you provide the cost of a ticket from West Croydon to Beddington Lane ?,"[(42, 54, 'ORN'), (58, 73, 'DST')]"
what is the estimated travel time from West Brompton to Belgrave Walk ?,"[(39, 52, 'ORN'), (56, 69, 'DST')]"
how long does it take to travel from West Acton to Belsize Park ?,"[(37, 47, 'ORN'), (51, 63, 'DST')]"
how much time should I allocate for a journey from Wembley Park to Bermondsey ?,"[(51, 63, 'ORN'), (67, 77, 'DST')]"
can you provide an estimate of the travel time from Wembley Central ?,"[(52, 67, 'ORN')]"
what is the duration of a journey from Wembley Central to Bethnal Green ?,"[(39, 54, 'ORN'), (58, 71, 'DST')]"
how long is the journey from Wellesley Road to Birkbeck ?,"[(29, 43, 'ORN'), (47, 55, 'DST')]"
tell me the estimated travel time from Watford Junction to Blackfriars,"[(39, 55, 'ORN'), (59, 70, 'DST')]"
tell me how long it takes from Watford High Street to Blackhorse Lane,"[(31, 50, 'ORN'), (54, 69, 'DST')]"
tell me the duration of a journey from Watford to Blackhorse Road,"[(39, 46, 'ORN'), (50, 65, 'DST')]"
tube to Abbey Road,"[(8, 18, 'DST')]"
subway to Acton Central,"[(10, 23, 'DST')]"
i wan na go to Acton Town,"[(15, 25, 'DST')]"
which tube line should i take to go to Addington Village ?,"[(39, 56, 'DST')]"
i want to go to Addiscombe,"[(16, 26, 'DST')]"
i need to get to Aldgate,"[(17, 24, 'DST')]"
can you take the tube to Aldgate East ?,"[(25, 37, 'DST')]"
tell me how to get to All Saints,"[(22, 32, 'DST')]"
how do i get from Wimbledon Park to Alperton using the tube ?,"[(18, 32, 'ORN'), (36, 44, 'DST')]"
what is the best route to get to Amersham from Wimbledon ?,"[(33, 41, 'DST'), (47, 56, 'ORN')]"
what is the best route to reach Ampere Way from Wimbledon using the tube ?,"[(32, 42, 'DST'), (48, 57, 'ORN')]"
can i use the tube to travel from Willesden Junction to Anerley ?,"[(34, 52, 'ORN'), (56, 63, 'DST')]"
what is the best route to reach Angel from Willesden Junction on the tube ?,"[(32, 37, 'DST'), (43, 61, 'ORN')]"
can you suggest a route from Willesden Green to Archway ?,"[(29, 44, 'ORN'), (48, 55, 'DST')]"
what is the fastest route from Whitechapel to Arena ?,"[(31, 42, 'ORN'), (46, 51, 'DST')]"
I want to know how to get to Arnos Grove from Whitechapel,"[(29, 40, 'DST'), (46, 57, 'ORN')]"
can I go to Arsenal from White Hart Lane,"[(12, 19, 'DST'), (25, 40, 'ORN')]"
how can i get to Avenue Road,"[(17, 28, 'DST')]"
how can i get from Westompton to Baker Street,"[(19, 29, 'ORN'), (33, 45, 'DST')]"
how do i go from Westminster to Balham,"[(17, 28, 'ORN'), (32, 38, 'DST')]"
