id,context,text,response,intent
C1,"[""]",What do you want me to inform you who I am?,I'm better at answering questions than asking them.,chitchat
C2,"[""]",Why am I the only one asking questions?,I'm better at answering questions than asking them.,chitchat
C3,"[""]",Why don't you ask me questions?,I'm better at answering questions than asking them.,chitchat
C4,"[""]",Want to ask any questions about me?,I'm better at answering questions than asking them.,chitchat
C5,"[""]",What can I inform you about me?,I'm better at answering questions than asking them.,chitchat
C6,"[""]",Can you ask me why I'm here?,I'm better at answering questions than asking them.,chitchat
C7,"[""]",What do you want to know about me,I'm better at answering questions than asking them.,chitchat
C8,"[""]",Do you want to ask me anything?,I'm better at answering questions than asking them.,chitchat
C9,"[""]",Please ask me anything about myself,I'm better at answering questions than asking them.,chitchat
C10,"[""]",AMA,I'm better at answering questions than asking them.,chitchat
C11,"[""]",What do you want me to teach you who I am,I'm better at answering questions than asking them.,chitchat
C12,"[""]",What's something you want to know about me?,I'm better at answering questions than asking them.,chitchat
C13,"[""]",I want you to ask me questions,I'm better at answering questions than asking them.,chitchat
C14,"[""]",I want you to ask about me,I'm better at answering questions than asking them.,chitchat
C15,"[""]",I want you to ask me a question,I'm better at answering questions than asking them.,chitchat
C16,"[""]",What do you want to know about me?,I'm better at answering questions than asking them.,chitchat
C17,"[""]",Can you ask questions?,I'm better at answering questions than asking them.,chitchat
C18,"[""]",Got any questions for me?,I'm better at answering questions than asking them.,chitchat
C19,"[""]",Why don't you ask me anything?,I'm better at answering questions than asking them.,chitchat
C20,"[""]",Would you ask me anything about myself,I'm better at answering questions than asking them.,chitchat
C21,"[""]",Why don't you ever ask me questions?,I'm better at answering questions than asking them.,chitchat
C22,"[""]","Now, it's your turn to ask questions",I'm better at answering questions than asking them.,chitchat
C23,"[""]",How about you ask me questions?,I'm better at answering questions than asking them.,chitchat
C24,"[""]",Want to learn more about me?,I'm better at answering questions than asking them.,chitchat
C25,"[""]",You have any questions for me?,I'm better at answering questions than asking them.,chitchat
C26,"[""]",How about you ask me something?,I'm better at answering questions than asking them.,chitchat
C27,"[""]",What do you want to learn about me,I'm better at answering questions than asking them.,chitchat
C28,"[""]",Would you ask me something about me,I'm better at answering questions than asking them.,chitchat
C29,"[""]",Why do I have to ask all the questions?,I'm better at answering questions than asking them.,chitchat
C30,"[""]",What would you like to learn about me,I'm better at answering questions than asking them.,chitchat
C31,"[""]",What would you like to learn about,I'm better at answering questions than asking them.,chitchat
C32,"[""]",Will you ask anything about me,I'm better at answering questions than asking them.,chitchat
C33,"[""]",What would you like to know about,I'm better at answering questions than asking them.,chitchat
C34,"[""]",Will you ask anything about myself,I'm better at answering questions than asking them.,chitchat
C35,"[""]",What do you want to learn about,I'm better at answering questions than asking them.,chitchat
C36,"[""]",What do you want to know about,I'm better at answering questions than asking them.,chitchat
C37,"[""]",What do you want to ask me about?,I'm better at answering questions than asking them.,chitchat
C38,"[""]",What do you want me to tell you who I am?,I'm better at answering questions than asking them.,chitchat
C39,"[""]",Ask me questions,I'm better at answering questions than asking them.,chitchat
C40,"[""]",What would you like to know about me,I'm better at answering questions than asking them.,chitchat
C41,"[""]",Will you ask something,I'm better at answering questions than asking them.,chitchat
C42,"[""]",Would you ask me anything about me,I'm better at answering questions than asking them.,chitchat
C43,"[""]",Would you ask me anything,I'm better at answering questions than asking them.,chitchat
C44,"[""]",Would you ask anything about myself,I'm better at answering questions than asking them.,chitchat
C45,"[""]",Would you ask anything about me,I'm better at answering questions than asking them.,chitchat
C46,"[""]",Would you ask anything,I'm better at answering questions than asking them.,chitchat
C47,"[""]",Will you ask anything,I'm better at answering questions than asking them.,chitchat
C48,"[""]",Will you ask something about me,I'm better at answering questions than asking them.,chitchat
C49,"[""]",What do you want me to tell you about me?,I'm better at answering questions than asking them.,chitchat
C50,"[""]",Will you ask me something about myself,I'm better at answering questions than asking them.,chitchat
C51,"[""]",Will you ask me something about me,I'm better at answering questions than asking them.,chitchat
C52,"[""]",Will you ask me something,I'm better at answering questions than asking them.,chitchat
C53,"[""]",Will you ask me anything about myself,I'm better at answering questions than asking them.,chitchat
C54,"[""]",Will you ask me anything about me,I'm better at answering questions than asking them.,chitchat
C55,"[""]",Will you ask me anything,I'm better at answering questions than asking them.,chitchat
C56,"[""]",Will you ask something about myself,I'm better at answering questions than asking them.,chitchat
C57,"[""]",What can I tell you about?,I'm better at answering questions than asking them.,chitchat
C58,"[""]",Please ask something about me,I'm better at answering questions than asking them.,chitchat
C59,"[""]",What can I teach you who I am?,I'm better at answering questions than asking them.,chitchat
C60,"[""]",What can I teach you about?,I'm better at answering questions than asking them.,chitchat
C61,"[""]",What can I teach you about me?,I'm better at answering questions than asking them.,chitchat
C62,"[""]",What can I inform you about?,I'm better at answering questions than asking them.,chitchat
C63,"[""]",Don't you want to know anything about me?,I'm better at answering questions than asking them.,chitchat
C64,"[""]",What can I tell you who I am?,I'm better at answering questions than asking them.,chitchat
C65,"[""]",Can you ask anything about me?,I'm better at answering questions than asking them.,chitchat
C66,"[""]",How about asking something about me?,I'm better at answering questions than asking them.,chitchat
C67,"[""]",Can you ask me something about me?,I'm better at answering questions than asking them.,chitchat
C68,"[""]",Can you ask me anything about myself?,I'm better at answering questions than asking them.,chitchat
C69,"[""]",Can you ask me anything about me?,I'm better at answering questions than asking them.,chitchat
C70,"[""]",Can you ask me anything?,I'm better at answering questions than asking them.,chitchat
C71,"[""]",Can you ask me something?,I'm better at answering questions than asking them.,chitchat
C72,"[""]",Can you ask anything about myself?,I'm better at answering questions than asking them.,chitchat
C73,"[""]",Can you ask anything?,I'm better at answering questions than asking them.,chitchat
C74,"[""]",Ask me something,I'm better at answering questions than asking them.,chitchat
C75,"[""]",Ask me anything,I'm better at answering questions than asking them.,chitchat
C76,"[""]",Ask me about something,I'm better at answering questions than asking them.,chitchat
C77,"[""]",Ask me about anything,I'm better at answering questions than asking them.,chitchat
